,title,street,city,country_code,address_text,marker_icon,remote,company_name,company_url,company_size,experience_level,salary_from,salary_to,salary_currency,latitude,longitude,employment_type,published_at,remote_interview,id,company_logo_url,skills,.NET,Design,-,Network,REST API,Embeded,Cloud,Database,Android,IT,Soft Skills,Scrum master,Mobile,Common,JavaScript,DevOps,Software engineering,Testing,Automation,Shell Scripting,Backend,Data Science,Blockchain,C++,Client Service,Front-end,Civil Engineering,Developer,iOS,SQL,Python,PHP,Erlang,Scala,Git,Games,Golang,Google,Java,Web,Consultant,Project Manager,Analitics,CRM,Perl,R,Ruby,Rust,SAP,CSS,XML,Salesforce,API,Data,Excel,Vert.x
10,Hadoop Big Data Developer,Łużycka,Gdynia,PL,"Łużycka, Gdynia",data,False,7N,https://www.7n.com,800+,mid,20160.0,23520.0,pln,54.4938314,18.5348903,b2b,2020-05-24T14:00:06.653Z,True,7n-hadoop-big-data-developer,https://bucket.justjoin.it/offers/company_logos/thumb/a573a45642db3b2a3f7e1bb99395d6b8bfde92bb.png?1589462405,"[{'name': 'Scala', 'level': 3}, {'name': 'Hive', 'level': 3}, {'name': 'Hadoop', 'level': 3}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Frontend Developer,Bema 83,Warszawa,PL,"Bema 83, Warszawa",javascript,False,WebWave,http://webwavecms.com,20-25,mid,5000.0,10000.0,pln,52.2292,20.9588823,b2b,2020-05-24T14:00:06.653Z,False,webwave-frontend-developer-4670e50e-4088-4fe3-b1f7-fe19afe7ccbe,https://bucket.justjoin.it/offers/company_logos/thumb/2b5aa3ca81c03e501d011265ea9817e36682b60e.png?1586872075,"[{'name': 'HTML5', 'level': 4}, {'name': 'CSS3', 'level': 4}, {'name': 'JavaScript', 'level': 4}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,C++ AI and Gameplay Programmer,Boh.Getta Warszawskiego 15,Gliwice,PL,"Boh.Getta Warszawskiego 15, Gliwice",c,True,The Farm 51 Group SA,http://www.thefarm51.com/,50-100,mid,,,pln,50.300311,18.674855,permanent,2020-05-24T14:00:06.653Z,True,the-farm-51-group-sa-the-farm-51-group-sa,https://bucket.justjoin.it/offers/company_logos/thumb/9ec80e1c25feeb2a867e3a48222530cc531f7828.png?1588598756,"[{'name': 'C++', 'level': 4}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Regular Product Designer ,Małachowskiego 10,Poznań,PL,"Małachowskiego 10, Poznań",ux,False,Merixstudio,https://www.merixstudio.com/,100+,mid,7000.0,11000.0,pln,52.4143773,16.9610657,b2b,2020-05-24T14:00:06.653Z,True,merixstudio-regular-product-designer,https://bucket.justjoin.it/offers/company_logos/thumb/fdd3a9a7c965401d5719fbe0800cd26025f8753b.png?1572513747,"[{'name': 'UI Design', 'level': 3}, {'name': 'Design Tools', 'level': 3}, {'name': 'English', 'level': 4}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Software Engineer (Biotechnology),Domaniewska,Warszawa,PL,"Domaniewska, Warszawa",java,True,KUBO,http://www.kubo.net.pl,>50,mid,12000.0,14500.0,pln,52.1833264,21.007074,b2b,2020-05-24T14:00:06.653Z,True,kubo-software-engineer-biotechnology,https://bucket.justjoin.it/offers/company_logos/thumb/991aff8ce8595d5ece07e8a12a4043f8ccfd0024.jpg?1587734687,"[{'name': 'AWS', 'level': 3}, {'name': 'Python', 'level': 3}, {'name': 'Java', 'level': 3}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Technical Support Consultant,Bukowińska 22B,Warszawa,PL,"Bukowińska 22B, Warszawa",support,False,Primaris,https://primaris.eu/,130+,mid,7000.0,10000.0,pln,52.1823233,21.0253869,b2b,2020-05-24T14:00:06.653Z,True,primaris-technical-support-consultant,https://bucket.justjoin.it/offers/company_logos/thumb/f21932bda593810cfdaf97fcbf7da0ab8d19f314.png?1584712183,"[{'name': 'Microsoft IIS', 'level': 3}, {'name': 'Microsoft Windows', 'level': 3}, {'name': 'English', 'level': 4}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Scala Developer,ul. Basztowa 3/6,Kraków,PL,"ul. Basztowa 3/6, Kraków",scala,False,NBC Sp. z o.o.,https://www.nbc.com.pl/,450 - 500,mid,11000.0,15000.0,pln,50.066316,19.9356659,b2b,2020-05-24T14:00:06.653Z,True,nbc-sp-z-o-o-scala-developer,https://bucket.justjoin.it/offers/company_logos/thumb/a2c5dafe5aec07bd39a7ee316e6110fba31f392b.jpg?1589463967,"[{'name': 'SQL', 'level': 3}, {'name': 'CoffeeScript', 'level': 3}, {'name': 'Scala', 'level': 3}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Oracle Database Administrator,ul. Chorzowska,Katowice,PL,"ul. Chorzowska, Katowice",data,False,WiPjobs,http://wipjobs.com,10-23,senior,,,pln,50.2726681,18.990985,permanent,2020-05-24T14:00:06.653Z,True,wipjobs-oracle-database-administrator,https://bucket.justjoin.it/offers/company_logos/thumb/d4606fd5bac99750abc2b3060ad7701d3da60e87.png?1586870907,"[{'name': 'Linux', 'level': 4}, {'name': 'SQL', 'level': 4}, {'name': 'Oracle DB', 'level': 5}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Senior .NET Developer,Portowa 8,Gliwice,PL,"Portowa 8, Gliwice",net,False,Onex Developers,https://www.onexdevelopers.pl/,10-40,senior,12100.0,16000.0,pln,50.3083009,18.655217,b2b,2020-05-24T14:00:06.653Z,True,onex-developers-senior-net-developer-gliwice,https://bucket.justjoin.it/offers/company_logos/thumb/8b1163351aedcec9687539f414c92879f46e57be.png?1583846646,"[{'name': 'C#', 'level': 4}, {'name': '.NET C#', 'level': 4}, {'name': 'Microsoft Visual Studio', 'level': 4}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Mid / Senior Java developer,Struga 78,Łódź,PL,"Struga 78, Łódź",java,False,UpMenu.com,http://www.upmenu.com,20+,mid,12000.0,16000.0,pln,51.7592485,19.4559833,permanent,2020-05-24T14:00:06.653Z,True,upmenu-com-java-developer,https://bucket.justjoin.it/offers/company_logos/thumb/d787d4bdbe0c71dcb86fbcef154d18910912e28b.png?1588593346,"[{'name': 'Hibernate', 'level': 3}, {'name': 'Spring', 'level': 4}, {'name': 'Java', 'level': 4}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Senior Product Designer,Małachowskiego 10,Poznań,PL,"Małachowskiego 10, Poznań",ux,False,Merixstudio,https://www.merixstudio.com/,100+,senior,11000.0,15000.0,pln,52.4143773,16.9610657,b2b,2020-05-24T14:00:06.653Z,True,merixstudio-senior-product-designer,https://bucket.justjoin.it/offers/company_logos/thumb/b22d8693a850e604447e2ebe8c9d6e9b937e448e.png?1589462411,"[{'name': 'Design Tools', 'level': 3}, {'name': 'UX Design', 'level': 4}, {'name': 'English', 'level': 4}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,System Engineer,Gdańska 27/31,Warszawa,PL,"Gdańska 27/31, Warszawa",other,False,SCS Expert Sp. zo.o.,https://scsexpert.com/?gclid=EAIaIQobChMIvNGe8pfp5AIVhumyCh1q5wP9EAAYASAAEgIPqvD_BwE,150,mid,,,,52.2769751,20.96905,permanent,2020-05-24T14:00:06.653Z,True,scs-expert-sp-zo-o-system-engineer,https://bucket.justjoin.it/offers/company_logos/thumb/1a7569e474e87848a0cc67b8b6d5c2428a1b01ee.png?1587734177,"[{'name': 'Amazon AWS', 'level': 2}, {'name': 'SQL', 'level': 2}, {'name': 'Linux', 'level': 3}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,React Developer (mid/senior),Jasnogórska 43,Częstochowa,PL,"Jasnogórska 43, Częstochowa",javascript,True,Brival,http://www.brival.co,15-20,mid,8000.0,12000.0,pln,50.8144146,19.1108683,b2b,2020-05-24T14:00:06.653Z,True,brival-react-developer-mid-senior,https://bucket.justjoin.it/offers/company_logos/thumb/bcde5a124417690e2fa938401261a39a90a990ea.png?1587724604,"[{'name': 'JavaScript', 'level': 4}, {'name': 'React', 'level': 4}, {'name': 'HTML', 'level': 5}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Tester Manualny,Poland,Warszawa,PL,"Poland, Warszawa",testing,True,Footballteam PL,https://footballteam.pl/,30,mid,3500.0,5500.0,pln,52.2296756,21.0122287,b2b,2020-05-24T13:00:07.337Z,True,footballteam-pl-tester-manualny,https://bucket.justjoin.it/offers/company_logos/thumb/bbe016229248ee04bea09599faaf302541dcac83.png?1588943148,"[{'name': 'Testing', 'level': 4}, {'name': 'Mobile App Testing', 'level': 4}, {'name': 'Manual Testing', 'level': 4}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Senior DevOps Engineer,Twarda 18,Warszawa,PL,"Twarda 18, Warszawa",devops,False,Westwing,http://www.westwing.pl,1300,senior,17000.0,20000.0,pln,52.2347064,20.9993674,permanent,2020-05-24T13:00:07.337Z,True,westwing-senior-devops-engineer,https://bucket.justjoin.it/offers/company_logos/thumb/8255176fb6858a006d57c99c304adea334d640b9.jpg?1589459134,"[{'name': 'AWS', 'level': 4}, {'name': 'Shell', 'level': 4}, {'name': 'Docker', 'level': 5}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Python/SAS Quant Analyst,.,Wrocław,PL,"., Wrocław",python,False,Talent Agency,https://grupaaf.pl/,300,mid,,,,51.1078852,17.0385376,permanent,2020-05-24T13:00:07.337Z,True,talent-agency-python-sas-quant-analyst,https://bucket.justjoin.it/offers/company_logos/thumb/e7609cf00d7bc4199dc6383483a2a746608b6435.jpg?1587731776,"[{'name': 'Python', 'level': 1}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Senior Java Developer,Kraków,Kraków,PL,"Kraków, Kraków",java,False,Adecco,https://www.adecco.pl/,500,senior,16500.0,18500.0,pln,50.0646501,19.9449799,permanent,2020-05-24T13:00:07.337Z,True,adecco-senior-java-developer,https://bucket.justjoin.it/offers/company_logos/thumb/a28047e6e762a1ed69c42dbef6cb89397fd89ac1.jpg?1586868401,"[{'name': 'REST', 'level': 4}, {'name': 'Java 8', 'level': 4}, {'name': 'Git', 'level': 5}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Architekt Rozwiązań Systemowych,Marynarska 12,Warszawa,PL,"Marynarska 12, Warszawa",analytics,False,T-Mobile,http://www.t-mobile.pl,4500,mid,,,,52.1814307,20.992729,b2b,2020-05-24T13:00:07.337Z,True,t-mobile-architekt-rozwiazan-systemowych,https://bucket.justjoin.it/offers/company_logos/thumb/4bf79c137de00f7aa2437bd00d038780ced74b1d.jpg?1587732024,"[{'name': 'Order Management', 'level': 3}, {'name': 'TMF Open API', 'level': 3}, {'name': 'CRM', 'level': 4}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Regular .NET Developer,Portowa 8,Gliwice,PL,"Portowa 8, Gliwice",net,False,Onex Developers,https://www.onexdevelopers.pl/,10-40,mid,6600.0,12100.0,pln,50.3083009,18.655217,b2b,2020-05-24T13:00:07.337Z,True,onex-developers-regular-net-developer,https://bucket.justjoin.it/offers/company_logos/thumb/2c939be83adc0b1c347cc0d37d638302e9b339cc.png?1583842724,"[{'name': 'C#', 'level': 3}, {'name': '.NET C#', 'level': 3}, {'name': 'Microsoft Visual Studio', 'level': 4}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Java Developer,Królowej Jadwigi 43,Poznań,PL,"Królowej Jadwigi 43, Poznań",java,False,Workeo,https://workeo.co,100+,junior,8000.0,12000.0,pln,52.3993137,16.9315869,permanent,2020-05-24T13:00:07.337Z,True,workeo-junior-java-developer,https://bucket.justjoin.it/offers/company_logos/thumb/8b4203706238b3510f2d783c4e5e85874809a56b.png?1586866581,"[{'name': 'Spring', 'level': 1}, {'name': 'SQL', 'level': 3}, {'name': 'Java', 'level': 3}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,PHP DEVELOPER – współpraca projektowa,"Gwiaździsta, 69F",Warszawa,PL,"Gwiaździsta, 69F, Warszawa",php,True,KERRIS Group,https://kerrisgroup.com/pl,36 - 45,mid,10000.0,13400.0,pln,52.2878939,20.976107,b2b,2020-05-24T13:00:07.337Z,True,kerris-group-php-developer-wspolpraca-projektowa,https://bucket.justjoin.it/offers/company_logos/thumb/b65e83712e48886600bec2769545a78ab152808e.png?1589460970,"[{'name': 'Symfony 3', 'level': 4}, {'name': 'cake php2', 'level': 4}, {'name': 'PHP', 'level': 4}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Senior Project Manager (Gdańsk/Wrocław),Duńska 9,Wrocław,PL,"Duńska 9, Wrocław",pm,True,Droptica,https://www.droptica.com/,30-40,senior,5600.0,9500.0,pln,51.1103451,16.973667,permanent,2020-05-24T13:00:07.337Z,True,droptica-senior-project-manager-gdansk-wroclaw,https://bucket.justjoin.it/offers/company_logos/thumb/a3c0e7edaa273080fdaf599896f20e62fa92d4e0.png?1586866143,"[{'name': 'PM', 'level': 5}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Regular .NET Developer,Al. NMP 34,Częstochowa,PL,"Al. NMP 34, Częstochowa",net,False,Onex Developers,https://www.onexdevelopers.pl/,10-40,mid,6600.0,12100.0,pln,50.8125634,19.1160876,b2b,2020-05-24T12:00:09.705Z,True,onex-developers-regular-senior-net-developer,https://bucket.justjoin.it/offers/company_logos/thumb/3ebb1a8c092334ce1034b458f35de703c65e9310.png?1575044358,"[{'name': 'C#', 'level': 3}, {'name': '.NET C#', 'level': 3}, {'name': 'Microsoft Visual Studio', 'level': 4}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Senior .NET Developer,Al. NMP 34,Częstochowa,PL,"Al. NMP 34, Częstochowa",net,False,Onex Developers,https://www.onexdevelopers.pl/,10-40,senior,12100.0,16000.0,pln,50.8125634,19.1160876,b2b,2020-05-24T12:00:09.705Z,True,onex-developers-senior-net-developer,https://bucket.justjoin.it/offers/company_logos/thumb/19010287710cea46f39de38ca48ed0b82fefea5d.png?1583840563,"[{'name': 'C#', 'level': 4}, {'name': '.NET C#', 'level': 4}, {'name': 'Microsoft Visual Studio', 'level': 4}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Full-Stack Developer,Krakowiaków 50,Warszawa,PL,"Krakowiaków 50, Warszawa",java,True,MyWorld.com Operations,https://pl.myworld.com/pl-pl/,200,mid,10000.0,13000.0,pln,52.1884238,20.9454989,b2b,2020-05-24T12:00:09.705Z,True,myworld-com-operations-full-stack-developer,https://bucket.justjoin.it/offers/company_logos/thumb/7f375dd8b65ae8d6741cc4c84d2c41be2a1a1e01.JPG?1589456271,"[{'name': 'Spring Boot', 'level': 3}, {'name': 'Angular 9', 'level': 3}, {'name': 'Java 8', 'level': 3}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
